response,predictor,analysis_method,sampling_level,effect_scope,n,n_dives,estimate,std_error,statistic,p_value,r_squared,deviance_explained,edf,permutations,p_adjusted_within_method,p_adjust_family
shannon_common_id_diversity,lat,log1p_linear_dive_level,dive,between_dive,18,18,-0.0022246967784221023,0.04234190550020312,-0.05254125321335456,0.9587478316747551,1.725066918836849e-4,NA,NA,NA,0.9917822046453884,BH_within_log1p_linear_dive_level
shannon_common_id_diversity,long,spearman_dive_level,dive,between_dive,18,18,0.08359133126934984,NA,888,0.7415774315720882,NA,NA,NA,NA,0.8676065335789527,BH_within_spearman_dive_level
shannon_common_id_diversity,long,linear_dive_level,dive,between_dive,18,18,-0.001189765125913591,0.043834177256997425,-0.02714240805611708,0.9786818099781229,4.604227470412934e-5,NA,NA,NA,0.9923621140693968,BH_within_linear_dive_level
shannon_common_id_diversity,long,log1p_linear_dive_level,dive,between_dive,18,18,-0.0015057198250917282,0.02193255459373375,-0.06865227753824539,0.9461170654250964,2.944842042072623e-4,NA,NA,NA,0.9917822046453884,BH_within_log1p_linear_dive_level
inverse_simpson_common_id_diversity,lat,spearman_dive_level,dive,between_dive,18,18,0.2260061919504644,NA,750,0.3671777255550174,NA,NA,NA,NA,0.8676065335789527,BH_within_spearman_dive_level
inverse_simpson_common_id_diversity,lat,linear_dive_level,dive,between_dive,18,18,0.05943617432088514,0.2139985579344655,0.2777410039327777,0.7847680154364517,0.004798121118086629,NA,NA,NA,0.9923621140693968,BH_within_linear_dive_level
inverse_simpson_common_id_diversity,lat,log1p_linear_dive_level,dive,between_dive,18,18,0.014609729702712295,0.0568016517424718,0.2572060715584489,0.8002981483489647,0.0041176599751383165,NA,NA,NA,0.9917822046453884,BH_within_log1p_linear_dive_level
inverse_simpson_common_id_diversity,long,spearman_dive_level,dive,between_dive,18,18,0.04231166150670795,NA,928,0.8676065335789527,NA,NA,NA,NA,0.8676065335789527,BH_within_spearman_dive_level
inverse_simpson_common_id_diversity,long,linear_dive_level,dive,between_dive,18,18,0.004101768636762357,0.11111740091422734,0.036913828104461824,0.971010354072785,8.51571667222285e-5,NA,NA,NA,0.9923621140693968,BH_within_linear_dive_level
inverse_simpson_common_id_diversity,long,log1p_linear_dive_level,dive,between_dive,18,18,-3.0846501084209974e-4,0.02948497593356985,-0.010461769123945586,0.9917822046453884,6.8404915325258425e-6,NA,NA,NA,0.9917822046453884,BH_within_log1p_linear_dive_level
pielou_evenness,lat,spearman_dive_level,dive,between_dive,18,18,0.12280701754385964,NA,850,0.6273461454239679,NA,NA,NA,NA,0.8676065335789527,BH_within_spearman_dive_level
pielou_evenness,lat,linear_dive_level,dive,between_dive,18,18,0.0057009285638538005,0.028605029314223557,0.19929811996448724,0.8445402562420841,0.0024763363240560394,NA,NA,NA,0.9923621140693968,BH_within_linear_dive_level
pielou_evenness,lat,log1p_linear_dive_level,dive,between_dive,18,18,0.003597311396089541,0.016613789902174745,0.2165256342635375,0.8313146402923028,0.0029216483518820246,NA,NA,NA,0.9917822046453884,BH_within_log1p_linear_dive_level
pielou_evenness,long,spearman_dive_level,dive,between_dive,18,18,-0.11661506707946337,NA,1082.0000000000002,0.6449317151979064,NA,NA,NA,NA,0.8676065335789527,BH_within_spearman_dive_level
pielou_evenness,long,linear_dive_level,dive,between_dive,18,18,-0.004146116671615271,0.014800064621319874,-0.28014179516775106,0.7829583238652378,0.004881022845719653,NA,NA,NA,0.9923621140693968,BH_within_linear_dive_level
pielou_evenness,long,log1p_linear_dive_level,dive,between_dive,18,18,-0.0023357538705983953,0.008599047177584229,-0.27162938199562126,0.789380629937608,0.004590240104728177,NA,NA,NA,0.9917822046453884,BH_within_log1p_linear_dive_level
pct_biotic_all,lat,spearman_dive_level,dive,between_dive,18,18,-0.25077399380804954,NA,1212,0.31551339595948563,NA,NA,NA,NA,0.8676065335789527,BH_within_spearman_dive_level
pct_biotic_all,lat,linear_dive_level,dive,between_dive,18,18,-3.9208767439162835,5.4571186422527935,-0.7184884553467721,0.4828173674773596,0.03125566767365217,NA,NA,NA,0.9923621140693968,BH_within_linear_dive_level
pct_biotic_all,lat,log1p_linear_dive_level,dive,between_dive,18,18,-0.10552879014528173,0.1212474846506815,-0.8703585929993854,0.39697505168524816,0.04520501219470313,NA,NA,NA,0.9917822046453884,BH_within_log1p_linear_dive_level
pct_biotic_all,long,spearman_dive_level,dive,between_dive,18,18,0.1331269349845201,NA,840,0.5984607651208831,NA,NA,NA,NA,0.8676065335789527,BH_within_spearman_dive_level
pct_biotic_all,long,linear_dive_level,dive,between_dive,18,18,0.4037000731190454,2.8703564199189575,0.14064457999625132,0.8899061589901991,0.0012347795521308806,NA,NA,NA,0.9923621140693968,BH_within_linear_dive_level
pct_biotic_all,long,log1p_linear_dive_level,dive,between_dive,18,18,0.010065605532808865,0.06422881761576758,0.15671478794804797,0.8774300659752199,0.0015326177748381732,NA,NA,NA,0.9917822046453884,BH_within_log1p_linear_dive_level
