dive_id,n_frames,mean_pct_biotic,mean_pct_abiotic,mean_pct_exclude,mean_pct_unsure
2025-09-sa-fr01-001,6,0.16666666666666669,75.1332957260979,24.70003760723543,0
2025-09-sa-fr01-002,49,25.96850579431664,62.19757989235354,11.42471216862555,0.32777155266547053
2025-09-sa-fr01-003,39,26.66304401240752,58.96739448931811,13.726717726717727,0.6172027459156172
2025-09-sa-fr01-004,56,14.67402955271208,71.61872476278704,13.350279630752643,0.3569660537482317
2025-09-sa-fr01-005,16,57.214727722772274,27.92450495049505,14.048267326732674,0.8125
2025-09-sa-fr01-006,16,87.01994868604507,12.854420000823612,0.12563131313131315,0
2025-09-sa-fr01-007,29,19.209572681406073,65.56318390459735,14.985857206410296,0.2413862075862759
2025-09-sa-fr01-009,34,5.706500061770883,71.97865374772772,22.28543442579552,0.02941176470588235
2025-09-sa-fr01-010,5,56.8,29.6,13.2,0.4
2025-09-sa-fr01-011,56,28.421184975640426,47.32119997714057,24.16832933293329,0.07142857142857145
2025-09-sa-fr01-012,11,34.27272727272727,40.72727272727273,24.363636363636363,0.6363636363636364
2025-09-sa-fr01-015,68,31.023898986904623,36.308296731435156,32.24118514915874,0.4266191325014853
2025-09-sa-fr01-016,20,19.11315335615194,41.9212834548761,38.91556318897196,0.04999999999999999
2025-09-sa-fr01-018,9,87.3015873015873,11.111111111111109,1.5873015873015877,0
2025-09-sa-fr01-021,28,12.119408369408369,49.17857142857143,38.63059163059163,0.07142857142857144
2025-09-sa-fr01-022,4,18.542929292929294,62.69949494949495,18.757575757575758,0
2025-09-sa-fr01-025,16,33.328777047264445,39.381618433614236,27.22647320599001,0.06313131313131312
2025-09-sa-fr01-026,20,29.67020202020202,27.962626262626262,42.26717171717172,0.1
2025-09-sa-fr01-028,40,36.23109060906091,33.58316081608161,29.935243524352437,0.25050505050505056
