filename,frame_substrate_class,frame_relief_class,frame_substrate_n,frame_substrate_dominance_pct,dominant_broad_substrate,broad_substrate_dominance_pct,primary_modifier,primary_modifier_pct,secondary_modifier,secondary_modifier_pct,relief_primary_pct
2025_09_SA_FR01_002_v2_0059.png,hard_shelldead_silt,flat,59,35.6,hard,64.4,shelldead,35.6,silt,35.6,100.0
2025_09_SA_FR01_002_v2_0060.png,soft_silt,flat,42,57.1,soft,57.1,silt,57.1,,,100.0
2025_09_SA_FR01_002_v2_0061.png,soft_silt,flat,75,85.3,soft,88.0,silt,85.3,,,100.0
2025_09_SA_FR01_002_v2_0062.png,soft_silt,flat,64,89.1,soft,92.2,silt,89.1,,,100.0
2025_09_SA_FR01_003_0007.png,soft_silt,flat,76,88.2,soft,97.4,silt,88.2,,,100.0
2025_09_SA_FR01_003_0008.png,soft_silt,moderate_flat,76,90.8,soft,93.4,silt,90.8,,,60.5
2025_09_SA_FR01_003_0009.png,soft_silt,flat_moderate,75,93.3,soft,94.7,silt,93.3,,,50.7
2025_09_SA_FR01_003_0010.png,soft_silt,moderate_flat,60,86.7,soft,88.3,silt,86.7,,,38.3
2025_09_SA_FR01_003_0011.png,soft_silt,moderate_flat,53,88.7,soft,90.6,silt,88.7,,,47.2
2025_09_SA_FR01_003_0012.png,soft_silt,flat,62,87.1,soft,95.2,silt,87.1,,,100.0
2025_09_SA_FR01_003_0013.png,soft_silt,flat,35,82.9,soft,82.9,silt,82.9,,,100.0
2025_09_SA_FR01_003_0014.png,soft_silt,flat,73,90.4,soft,93.2,silt,90.4,,,100.0
2025_09_SA_FR01_003_0015.png,soft_silt,flat,53,92.5,soft,94.3,silt,92.5,,,100.0
2025_09_SA_FR01_003_0016.png,soft_silt,flat,55,98.2,soft,98.2,silt,98.2,,,100.0
2025_09_SA_FR01_003_0018.png,soft_silt,flat,60,90.0,soft,91.7,silt,90.0,,,100.0
2025_09_SA_FR01_003_0019.png,soft_silt,flat,74,89.2,soft,97.3,silt,89.2,,,100.0
2025_09_SA_FR01_003_0020.png,soft_silt,flat,38,84.2,soft,84.2,silt,84.2,,,100.0
2025_09_SA_FR01_003_0021.png,soft_silt,flat,56,83.9,soft,83.9,silt,83.9,,,100.0
2025_09_SA_FR01_003_0022.png,soft_silt,flat,55,89.1,soft,92.7,silt,89.1,,,100.0
2025_09_SA_FR01_003_0023.png,soft_silt,flat,54,68.5,soft,87.0,silt,68.5,,,100.0
2025_09_SA_FR01_003_0024.png,soft_silt,flat,58,96.6,soft,100.0,silt,96.6,,,100.0
2025_09_SA_FR01_003_0025.png,soft_silt,flat,51,84.3,soft,92.2,silt,84.3,,,100.0
2025_09_SA_FR01_003_0026.png,soft_silt,flat,69,87.0,soft,94.2,silt,87.0,,,100.0
2025_09_SA_FR01_003_0028.png,soft_silt,flat,63,88.9,soft,96.8,silt,88.9,,,100.0
2025_09_SA_FR01_003_0029.png,soft_silt,flat,64,98.4,soft,98.4,silt,98.4,,,100.0
2025_09_SA_FR01_003_0030.png,soft_silt,flat,64,85.9,soft,92.2,silt,85.9,,,100.0
2025_09_SA_FR01_003_0031.png,soft_silt,flat,45,93.3,soft,93.3,silt,93.3,,,100.0
2025_09_SA_FR01_003_0032.png,soft_silt,flat,59,84.7,soft,88.1,silt,84.7,,,100.0
2025_09_SA_FR01_003_0033.png,soft_silt,flat,69,95.7,soft,97.1,silt,95.7,,,100.0
