Layer_01,Layer_02,Layer_03,Layer_04,Layer_05,Layer_06,Layer_07,Layer_08,cpc_codes,kingdom,phylum,class,order,family,taxonomic_resolution,morphology,common_id_short,common_id_mid,common_id_full,releif,substrate,type,size
Sponge,Porifera,True sponge,Demospongiae,Erect form,Branching,,,SPEB,Animalia,Porifera,Demospongiae,,,C,erect_branching,Sponge,Sponge_demospongiae,Sponge_true_demospongiae_erect_branching,,,,
Sponge,Porifera,True sponge,Demospongiae,Erect form,Laminar,,,SPEL,Animalia,Porifera,Demospongiae,,,C,erect_laminar,Sponge,Sponge_demospongiae,Sponge_true_demospongiae_erect_laminar,,,,
Sponge,Porifera,True sponge,Demospongiae,Erect form,Palmate,,,SPEP,Animalia,Porifera,Demospongiae,,,C,erect_palmate,Sponge,Sponge_demospongiae,Sponge_true_demospongiae_erect_palmate,,,,
Sponge,Porifera,True sponge,Demospongiae,Erect form,Simple,,,SPES,Animalia,Porifera,Demospongiae,,,C,erect_simple,Sponge,Sponge_demospongiae,Sponge_true_demospongiae_erect_simple,,,,
Sponge,Porifera,True sponge,Demospongiae,Erect form,Stalked,,,SPMST,Animalia,Porifera,Demospongiae,,,C,erect_stalked,Sponge,Sponge_demospongiae,Sponge_true_demospongiae_erect_stalked,,,,
Sponge,Porifera,True sponge,Demospongiae,Massive form,,,,SPM,Animalia,Porifera,Demospongiae,,,C,massive,Sponge,Sponge_demospongiae,Sponge_true_demospongiae_massive,,,,
Sponge,Porifera,True sponge,Demospongiae,Massive form,Ball,,,SPMR,Animalia,Porifera,Demospongiae,,,C,massive_ball,Sponge,Sponge_demospongiae,Sponge_true_demospongiae_massive_ball,,,,
Sponge,Porifera,True sponge,Demospongiae,Massive form,Cryptic,,,SPMC,Animalia,Porifera,Demospongiae,,,C,massive_cryptic,Sponge,Sponge_demospongiae,Sponge_true_demospongiae_massive_cryptic,,,,
Sponge,Porifera,True sponge,Demospongiae,Massive form,Simple,,,SPMSI,Animalia,Porifera,Demospongiae,,,C,massive_simple,Sponge,Sponge_demospongiae,Sponge_true_demospongiae_massive_simple,,,,
Sponge,Porifera,Glass sponge,Hexactinellida,,,,,GLS,Animalia,Porifera,Hexactinellida,,,C,,Sponge,Sponge_hexactinellida,Sponge_glass_hexactinellida,,,,
Sponge,Porifera,Glass sponge,Hexactinellida,Tubular,,,,GST,Animalia,Porifera,Hexactinellida,,,C,tubular,Sponge,Sponge_hexactinellida,Sponge_glass_hexactinellida_tubular,,,,
Sponge,Porifera,Glass sponge,Hexactinellida,Barrel,,,,GSB,Animalia,Porifera,Hexactinellida,,,C,barrel,Sponge,Sponge_hexactinellida,Sponge_glass_hexactinellida_barrel,,,,
Sponge,Porifera,Glass sponge,Hexactinellida,Vase,,,,GSV,Animalia,Porifera,Hexactinellida,,,C,vase,Sponge,Sponge_hexactinellida,Sponge_glass_hexactinellida_vase,,,,
Sponge,Porifera,Glass sponge,Hexactinellida,Ball,,,,GSR,Animalia,Porifera,Hexactinellida,,,C,ball,Sponge,Sponge_hexactinellida,Sponge_glass_hexactinellida_ball,,,,
Sponge,Porifera,Glass sponge,Hexactinellida,Mat,,,,GSM,Animalia,Porifera,Hexactinellida,,,C,mat,Sponge,Sponge_hexactinellida,Sponge_glass_hexactinellida_mat,,,,
Sponge,Porifera,Calcarea sponge,Calcarea,,,,,CAL,Animalia,Porifera,Calcarea,,,C,,Sponge,Sponge_calcarea,Sponge_calcarea,,,,
Sponge,Porifera,Homoscleromorpha sponge,Homoscleromorpha,,,,,HOM,Animalia,Porifera,Homoscleromorpha,Homosclerophorida,,O,,Sponge,Sponge_homoscleromorpha,Sponge_homoscleromorpha,,,,
Tunicate,Tunicata,Ascidian,Ascidiacea,,,,,A,Animalia,Chordata,Ascidiacea,,,C,,Tunicate,Tunicate_ascidian,Tunicate_ascidian,,,,
Tunicate,Tunicata,Ascidian,Ascidiacea,Stalked,,,,AS,Animalia,Chordata,Ascidiacea,,,C,stalked,Tunicate,Tunicate_ascidian,Tunicate_ascidian_stalked,,,,
Tunicate,Tunicata,Ascidian,Ascidiacea,Stalked,Colonial,,,ASC,Animalia,Chordata,Ascidiacea,,,C,stalked_colonial,Tunicate,Tunicate_ascidian,Tunicate_ascidian_stalked_colonial,,,,
Tunicate,Tunicata,Ascidian,Ascidiacea,Stalked,Solitary,,,ASS,Animalia,Chordata,Ascidiacea,,,C,stalked_solitary,Tunicate,Tunicate_ascidian,Tunicate_ascidian_stalked_solitary,,,,
Tunicate,Tunicata,Ascidian,Ascidiacea,Unstalked,,,,AU,Animalia,Chordata,Ascidiacea,,,C,unstalked,Tunicate,Tunicate_ascidian,Tunicate_ascidian_unstalked,,,,
Tunicate,Tunicata,Ascidian,Ascidiacea,Unstalked,Colonial,,,AUC,Animalia,Chordata,Ascidiacea,,,C,unstalked_colonial,Tunicate,Tunicate_ascidian,Tunicate_ascidian_unstalked_colonial,,,,
Tunicate,Tunicata,Ascidian,Ascidiacea,Unstalked,Solitary,,,AUS,Animalia,Chordata,Ascidiacea,,,C,unstalked_solitary,Tunicate,Tunicate_ascidian,Tunicate_ascidian_unstalked_solitary,,,,
Worm,Worms,,,,,,,W,Animalia,,,,,K,,Worm,Worm,Worm,,,,
Worm,Worms,Acorn worm,,,,,,WA,Animalia,Hemichordata,Enteropneusta,,,C,,Worm,Worm_acorn,Worm_acorn,,,,
Worm,Worms,Echiura,,,,,,WEE,Animalia,Annelida,Polychaeta,,,C,,Worm,Worm_annelida_echiura,Worm_echiura,,,,
Worm,Worms,Flatworm,,,,,,WF,Animalia,Platyhelminthes,,,,P,,Worm,Worm_flatworm,Worm_flatworm,,,,
Worm,Worms,Penisworm,,,,,,WPE,Animalia,Priapulida,,,,P,,Worm,Worm_penisworm,Worm_penisworm,,,,
Worm,Worms,Arrow worm,Chaetognatha,,,,,CAE,Animalia,Chaetognatha,,,,P,,Worm,Worm_arrowworm,Worm_arrowworm_chaetognatha,,,,
Worm,Worms,Ribbon worm,Nemertea,,,,,RIB,Animalia,Nemertea,,,,P,,Worm,Worm_nemertea,Worm_ribbon_nemertea,,,,
Worm,Worms,Sipuncula,Annelida,Peanut worm,,,,WES,Animalia,Sipuncula,,,,P,,Worm,Worm_sipuncula,Worm_sipuncula_annelida_peanut,,,,
Worm,Worms,Clitellata,Annelida,Collar worm,,,,COL,Animalia,Annelida,Clitellata,,,C,,Worm,Worm_annelida,Worm_clitellata_annelida_collar,,,,
Worm,Worms,Polychaeta,Annelida,Scale / bristle worm,,,,WPO,Animalia,Annelida,Polychaeta,,,C,,Worm,Worm_annelida,Worm_annelida_scalebristle,,,,
Worm,Worms,Polychaeta,Annelida,Other polychaete,,,,WPOO,Animalia,Annelida,Polychaeta,,,C,,Worm,Worm_annelida,Worm_annelida_other,,,,
Worm,Worms,Polychaeta,Annelida,Tube worm,,,,WPOT,Animalia,Annelida,Polychaeta,,,C,,Worm,Worm_annelida,Worm_annelida_tube,,,,
,,,,,,,,,,,,,,,,Flat_soft,Flat_soft_silt,Flat_soft_wentworth_silt,Flat,soft,wentworth,silt
,,,,,,,,,,,,,,,,Flat_soft,Flat_soft_sand,Flat_soft_wentworth_sand,Flat,soft,wentworth,sand
,,,,,,,,,,,,,,,,Flat_soft,Flat_soft_bioturbation,Flat_soft_bioturbation,Flat,soft,bioturbation,
,,,,,,,,,,,,,,,,Flat_soft,Flat_soft_bacterialmats,Flat_soft_bacterialmats,Flat,soft,bacterialmats,
,,,,,,,,,,,,,,,,Flat_soft,Flat_soft_icescour,Flat_soft_icescour,Flat,soft,icescour,
,,,,,,,,,,,,,,,,Flat_soft,Flat_soft_ripples,Flat_soft_ripples,Flat,soft,ripples,
,,,,,,,,,,,,,,,,Flat_hard,Flat_hard_basalt,Flat_hard_basalt,Flat,hard,basalt,
,,,,,,,,,,,,,,,,Flat_hard,Flat_hard_ice,Flat_hard_ice,Flat,hard,ice,
,,,,,,,,,,,,,,,,Flat_hard,Flat_hard_limestone,Flat_hard_limestone,Flat,hard,limestone,
,,,,,,,,,,,,,,,,Flat_hard,Flat_hard_shelldead,Flat_hard_shelldead,Flat,hard,shelldead,
,,,,,,,,,,,,,,,,Flat_hard,Flat_hard_wall,Flat_hard_wall,Flat,hard,wall,
,,,,,,,,,,,,,,,,Flat_hard,Flat_hard_pebble,Flat_hard_wentworth_pebble,Flat,hard,wentworth,pebble
,,,,,,,,,,,,,,,,Flat_hard,Flat_hard_cobble,Flat_hard_wentworth_cobble,Flat,hard,wentworth,cobble
,,,,,,,,,,,,,,,,Flat_hard,Flat_hard_boulder,Flat_hard_wentworth_boulder,Flat,hard,wentworth,boulder
,,,,,,,,,,,,,,,,Flat_hard,Flat_hard_bedrockreef ,Flat_hard_wentworth_bedrockreef ,Flat,hard,wentworth,bedrockreef 
,,,,,,,,,,,,,,,,Moderate_soft,Moderate_soft_silt,Moderate_soft_wentworth_silt,Moderate,soft,wentworth,silt
,,,,,,,,,,,,,,,,Moderate_soft,Moderate_soft_sand,Moderate_soft_wentworth_sand,Moderate,soft,wentworth,sand
,,,,,,,,,,,,,,,,Moderate_soft,Moderate_soft_bioturbation,Moderate_soft_bioturbation,Moderate,soft,bioturbation,
,,,,,,,,,,,,,,,,Moderate_soft,Moderate_soft_bacterialmats,Moderate_soft_bacterialmats,Moderate,soft,bacterialmats,
,,,,,,,,,,,,,,,,Moderate_soft,Moderate_soft_icescour,Moderate_soft_icescour,Moderate,soft,icescour,
,,,,,,,,,,,,,,,,Moderate_soft,Moderate_soft_ripples,Moderate_soft_ripples,Moderate,soft,ripples,
,,,,,,,,,,,,,,,,Moderate_hard,Moderate_hard_basalt,Moderate_hard_basalt,Moderate,hard,basalt,
,,,,,,,,,,,,,,,,Moderate_hard,Moderate_hard_ice,Moderate_hard_ice,Moderate,hard,ice,
,,,,,,,,,,,,,,,,Moderate_hard,Moderate_hard_limestone,Moderate_hard_limestone,Moderate,hard,limestone,
,,,,,,,,,,,,,,,,Moderate_hard,Moderate_hard_shelldead,Moderate_hard_shelldead,Moderate,hard,shelldead,
,,,,,,,,,,,,,,,,Moderate_hard,Moderate_hard_wall,Moderate_hard_wall,Moderate,hard,wall,
,,,,,,,,,,,,,,,,Moderate_hard,Moderate_hard_pebble,Moderate_hard_wentworth_pebble,Moderate,hard,wentworth,pebble
,,,,,,,,,,,,,,,,Moderate_hard,Moderate_hard_cobble,Moderate_hard_wentworth_cobble,Moderate,hard,wentworth,cobble
,,,,,,,,,,,,,,,,Moderate_hard,Moderate_hard_boulder,Moderate_hard_wentworth_boulder,Moderate,hard,wentworth,boulder
,,,,,,,,,,,,,,,,Moderate_hard,Moderate_hard_bedrockreef ,Moderate_hard_wentworth_bedrockreef ,Moderate,hard,wentworth,bedrockreef 
,,,,,,,,,,,,,,,,High_soft,High_soft_silt,High_soft_wentworth_silt,High,soft,wentworth,silt
,,,,,,,,,,,,,,,,High_soft,High_soft_sand,High_soft_wentworth_sand,High,soft,wentworth,sand
,,,,,,,,,,,,,,,,High_soft,High_soft_bioturbation,High_soft_bioturbation,High,soft,bioturbation,
,,,,,,,,,,,,,,,,High_soft,High_soft_bacterialmats,High_soft_bacterialmats,High,soft,bacterialmats,
,,,,,,,,,,,,,,,,High_soft,High_soft_icescour,High_soft_icescour,High,soft,icescour,
,,,,,,,,,,,,,,,,High_soft,High_soft_ripples,High_soft_ripples,High,soft,ripples,
,,,,,,,,,,,,,,,,High_hard,High_hard_basalt,High_hard_basalt,High,hard,basalt,
,,,,,,,,,,,,,,,,High_hard,High_hard_ice,High_hard_ice,High,hard,ice,
,,,,,,,,,,,,,,,,High_hard,High_hard_limestone,High_hard_limestone,High,hard,limestone,
,,,,,,,,,,,,,,,,High_hard,High_hard_shelldead,High_hard_shelldead,High,hard,shelldead,
,,,,,,,,,,,,,,,,High_hard,High_hard_wall,High_hard_wall,High,hard,wall,
,,,,,,,,,,,,,,,,High_hard,High_hard_pebble,High_hard_wentworth_pebble,High,hard,wentworth,pebble
,,,,,,,,,,,,,,,,High_hard,High_hard_cobble,High_hard_wentworth_cobble,High,hard,wentworth,cobble
,,,,,,,,,,,,,,,,High_hard,High_hard_boulder,High_hard_wentworth_boulder,High,hard,wentworth,boulder
,,,,,,,,,,,,,,,,High_hard,High_hard_bedrockreef ,High_hard_wentworth_bedrockreef ,High,hard,wentworth,bedrockreef 
