filename,dive_id,unique_random_point_annotations,difference_from_target
2025_09_SA_FR01_021_0052.png,2025-09-sa-fr01-021,99,-1
2025_09_SA_FR01_021_0056.png,2025-09-sa-fr01-021,99,-1
2025_09_SA_FR01_022_v1_0011.png,2025-09-sa-fr01-022,99,-1
2025_09_SA_FR01_025_0015.png,2025-09-sa-fr01-025,99,-1
2025_09_SA_FR01_025_0023.png,2025-09-sa-fr01-025,98,-2
2025_09_SA_FR01_025_0024.png,2025-09-sa-fr01-025,99,-1
2025_09_SA_FR01_025_0045.png,2025-09-sa-fr01-025,102,2
2025_09_SA_FR01_025_0046.png,2025-09-sa-fr01-025,1,-99
2025_09_SA_FR01_025_0047.png,2025-09-sa-fr01-025,37,-63
2025_09_SA_FR01_026_0018.png,2025-09-sa-fr01-026,99,-1
2025_09_SA_FR01_028_0014.png,2025-09-sa-fr01-028,101,1
2025_09_SA_FR01_028_0021.png,2025-09-sa-fr01-028,101,1
2025_09_SA_FR01_028_0023.png,2025-09-sa-fr01-028,99,-1
2025_09_SA_FR01_028_0033.png,2025-09-sa-fr01-028,101,1
