filename,dive_id,n_points,n_biotic,n_abiotic,n_exclude,n_unsure,n_conflict,n_other,n_biotic_assigned,n_biotic_unassigned,lat,long,depth_m,depth_m_raw,temperature,frame_substrate_class,frame_relief_class,target_points,difference_from_target,point_count_qc,n_valid,pct_biotic_all,pct_abiotic_all,pct_exclude_all,pct_unsure_all,pct_biotic_valid,pct_abiotic_valid,pct_biotic_units_resolved
2025_09_SA_FR01_002_v2_0023.png,2025-09-sa-fr01-002,100,18,73,9,0,0,0,18,0,72.9571,-24.81585,44.55381,-44.55381,-2.09,soft_silt,flat,100,0,PASS,91,18,73,9,0,19.78021978021978,80.21978021978022,100
2025_09_SA_FR01_002_v2_0024.png,2025-09-sa-fr01-002,100,3,78,17,0,2,0,3,0,72.9571,-24.81585,44.503201,-44.503201,-2.2,soft_silt,flat,100,0,PASS,81,3,78,17,0,3.7037037037037037,96.29629629629629,100
2025_09_SA_FR01_002_v2_0025.png,2025-09-sa-fr01-002,100,24,67,9,0,0,0,24,0,72.9571,-24.81585,44.883003,-44.883003,-2.09,soft_silt,flat,100,0,PASS,91,24,67,9,0,26.373626373626372,73.62637362637362,100
2025_09_SA_FR01_002_v2_0026.png,2025-09-sa-fr01-002,100,8,63,29,0,0,0,8,0,72.9571,-24.81585,45.348385,-45.348385,-2.2,soft_silt,flat,100,0,PASS,71,8,63,29,0,11.267605633802816,88.73239436619718,100
2025_09_SA_FR01_002_v2_0027.png,2025-09-sa-fr01-002,100,0,79,18,3,0,0,0,0,72.9571,-24.81585,45.301094,-45.301094,-2.2,soft_silt,flat_moderate,100,0,PASS,79,0,79,18,3,0,100,NA
2025_09_SA_FR01_002_v2_0028.png,2025-09-sa-fr01-002,100,2,88,10,0,0,0,2,0,72.9571,-24.81585,45.303474,-45.303474,-2.2,soft_silt,flat,100,0,PASS,90,2,88,10,0,2.2222222222222223,97.77777777777777,100
2025_09_SA_FR01_002_v2_0029.png,2025-09-sa-fr01-002,100,12,80,8,0,0,0,12,0,72.9571,-24.81585,45.272541,-45.272541,-2.09,soft_silt,flat,100,0,PASS,92,12,80,8,0,13.043478260869565,86.95652173913044,100
2025_09_SA_FR01_002_v2_0030.png,2025-09-sa-fr01-002,101,27,47,26,0,1,0,26,1,72.9571,-24.81585,45.099274,-45.099274,-2.2,soft_silt,flat,100,1,REVIEW,74,26.73267326732673,46.53465346534654,25.742574257425744,0,36.486486486486484,63.513513513513516,96.29629629629629
2025_09_SA_FR01_002_v2_0032.png,2025-09-sa-fr01-002,99,16,75,8,0,0,0,16,0,72.9571,-24.81585,44.657261,-44.657261,-2.2,soft_silt,flat,100,-1,REVIEW,91,16.161616161616163,75.75757575757575,8.080808080808081,0,17.582417582417584,82.41758241758242,100
2025_09_SA_FR01_002_v2_0033.png,2025-09-sa-fr01-002,100,25,67,8,0,0,0,25,0,72.9571,-24.81585,44.599133,-44.599133,-2.2,soft_silt,flat,100,0,PASS,92,25,67,8,0,27.17391304347826,72.82608695652173,100
2025_09_SA_FR01_002_v2_0034.png,2025-09-sa-fr01-002,101,32,65,3,1,0,0,32,0,72.9571,-24.81585,44.115646,-44.115646,-2.2,soft_silt,flat,100,1,REVIEW,97,31.683168316831683,64.35643564356435,2.9702970297029703,0.9900990099009901,32.98969072164948,67.01030927835052,100
2025_09_SA_FR01_002_v2_0035.png,2025-09-sa-fr01-002,100,22,68,10,0,0,0,22,0,72.9571,-24.81585,44.389626,-44.389626,-2.2,soft_silt,flat,100,0,PASS,90,22,68,10,0,24.444444444444443,75.55555555555556,100
2025_09_SA_FR01_002_v2_0036.png,2025-09-sa-fr01-002,100,12,57,31,0,0,0,12,0,72.9571,-24.81585,43.898449,-43.898449,-2.2,soft_silt,flat,100,0,PASS,69,12,57,31,0,17.391304347826086,82.6086956521739,100
2025_09_SA_FR01_002_v2_0037.png,2025-09-sa-fr01-002,98,24,63,11,0,0,0,24,0,72.9571,-24.81585,44.075954,-44.075954,-2.2,soft_silt,flat,100,-2,REVIEW,87,24.489795918367346,64.28571428571429,11.224489795918368,0,27.586206896551722,72.41379310344827,100
2025_09_SA_FR01_002_v2_0038.png,2025-09-sa-fr01-002,100,32,52,16,0,0,0,32,0,72.9571,-24.81585,43.314068,-43.314068,-2.2,soft_silt,flat,100,0,PASS,84,32,52,16,0,38.095238095238095,61.904761904761905,100
2025_09_SA_FR01_002_v2_0039.png,2025-09-sa-fr01-002,100,29,60,11,0,0,0,29,0,72.9571,-24.81585,43.881584,-43.881584,-2.2,soft_silt,flat,100,0,PASS,89,29,60,11,0,32.58426966292135,67.41573033707866,100
2025_09_SA_FR01_002_v2_0040.png,2025-09-sa-fr01-002,101,41,49,11,0,0,0,41,0,72.9571,-24.81585,43.868484,-43.868484,-2.2,soft_silt,flat,100,1,REVIEW,90,40.59405940594059,48.51485148514851,10.891089108910892,0,45.55555555555556,54.44444444444444,100
2025_09_SA_FR01_002_v2_0041.png,2025-09-sa-fr01-002,100,48,44,8,0,0,0,48,0,72.9571,-24.81585,43.841942,-43.841942,-2.2,soft_silt,flat,100,0,PASS,92,48,44,8,0,52.17391304347826,47.82608695652174,100
2025_09_SA_FR01_002_v2_0042.png,2025-09-sa-fr01-002,99,23,69,3,4,0,0,23,0,72.9571,-24.81585,44.061901,-44.061901,-2.2,soft_silt,flat,100,-1,REVIEW,92,23.232323232323232,69.6969696969697,3.0303030303030303,4.040404040404041,25,75,100
